p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Sodiq Yusuff,Mairon Santos,0,0,0.41,0.48,0.33,,0,0,0,0,122,117,0,0,0.63,0.33,0.0,,0,0,0,0,42,3,0.41,0.48,0.63,0.33,Decision - Unanimous,Kerry Hatley,0,2025-05-17,36,86,40,83,60,115,71,114,1,3,0,0,19,30,9,27,19,30,9,27,0,1,0,0,9,44,22,56,9,19,10,18,18,23,8,9,35,84,35,77,1,2,5,6,0,0,0,0,4,11,4,18,7,10,2,5,8,9,3,4,18,29,8,26,1,1,1,1,0,0,0,0,69.0,155.0,71.0,Orthodox,1993-05-19,5.27,0.49,4.29,0.53,0.36,0.23,0.62,0.4,67.0,155.0,72.0,Orthodox,2000-06-10,3.53,0.46,2.38,0.66,0.00,0.0,0.5,0.0
Dustin Stoltzfus,Nursulton Ruziboev,0,0,0.56,0.51,0.4,0.5,2,0,0,2,311,201,0,0,0.38,0.48,0.0,1.0,1,0,0,1,74,84,0.56,0.51,0.38,0.48,Decision - Unanimous,Chris Tognoni,0,2025-05-17,21,37,35,68,41,62,53,94,2,5,1,2,5,13,13,27,10,18,21,36,0,1,1,1,5,19,24,53,4,6,8,11,12,12,3,4,19,34,24,52,1,2,1,1,1,1,10,15,2,10,8,19,1,1,2,4,2,2,3,4,5,13,11,25,0,0,1,1,0,0,1,1,72.0,185.0,75.0,Orthodox,1991-11-15,3.14,0.45,3.14,0.47,2.26,0.41,0.46,1.3,77.0,185.0,76.0,Orthodox,1993-11-19,2.59,0.46,2.89,0.48,0.75,0.66,0.33,0.0
Julian Erosa,Melquizael Costa,0,0,0.39,0.5,0.3,0.66,0,1,0,0,214,23,0,0,0.38,0.42,0.33,,0,0,0,0,36,1,0.39,0.5,0.38,0.42,Decision - Unanimous,Herb Dean,0,2025-05-17,69,173,102,204,85,202,128,236,3,10,2,3,10,26,32,75,10,27,32,75,1,3,0,0,42,140,67,160,18,24,16,22,9,9,19,22,55,150,99,196,13,21,3,7,1,2,0,1,5,19,14,52,1,3,7,10,4,4,11,13,9,24,32,73,0,0,0,2,1,2,0,0,73.0,145.0,74.0,Southpaw,1989-07-31,6.21,0.48,6.27,0.48,1.78,0.43,0.61,0.7,70.0,145.0,71.0,Southpaw,1996-09-14,4.44,0.49,3.09,0.54,1.96,0.38,0.58,1.2
Gabe Green,Matheus Camilo,0,0,0.44,0.48,,0.66,1,1,0,0,132,150,0,0,0.38,0.5,,0.5,0,0,0,0,9,86,0.44,0.48,0.38,0.5,Submission,Jason Herzog,1,2025-05-17,12,27,13,27,36,57,33,48,0,0,2,3,7,18,12,24,17,30,30,43,0,0,1,2,4,16,6,16,3,4,4,6,5,7,3,5,10,25,12,24,1,1,0,1,1,1,1,2,1,9,6,14,1,2,4,6,5,7,2,4,6,17,11,21,1,1,0,1,0,0,1,2,70.0,155.0,73.0,Switch,1993-05-02,5.60,0.45,6.19,0.47,0.71,0.5,0.5,0.5,70.0,155.0,69.0,Orthodox,2001-01-02,1.49,0.48,1.38,0.55,3.44,0.66,0.0,1.7
Jared Gordon,Thiago Moises,1,0,0.53,0.55,1.0,,0,0,0,0,156,0,1,0,0.53,0.55,1.0,,0,0,0,0,156,0,0.53,0.55,0.53,0.55,KO/TKO,Kerry Hatley,1,2025-05-17,7,13,5,9,21,36,11,16,1,1,0,0,7,13,5,9,21,36,11,16,1,1,0,0,5,10,3,6,0,0,0,1,2,3,2,2,5,11,5,9,0,0,0,0,2,2,0,0,5,10,3,6,0,0,0,1,2,3,2,2,5,11,5,9,0,0,0,0,2,2,0,0,69.0,155.0,68.0,Orthodox,1988-09-06,5.67,0.55,3.91,0.56,1.83,0.32,0.62,0.0,69.0,155.0,70.0,Orthodox,1995-03-23,2.48,0.42,4.08,0.53,1.31,0.35,0.52,1.1
Yadier del Valle,Connor Matthews,0,0,0.75,0.3,1.0,,1,0,0,0,81,0,0,0,0.75,0.3,1.0,,1,0,0,0,81,0,0.75,0.3,0.75,0.3,Submission,Chris Tognoni,1,2025-05-17,9,12,3,10,28,34,3,10,1,1,0,0,9,12,3,10,28,34,3,10,1,1,0,0,4,6,0,5,1,1,0,1,4,5,3,4,6,8,3,10,0,0,0,0,3,4,0,0,4,6,0,5,1,1,0,1,4,5,3,4,6,8,3,10,0,0,0,0,3,4,0,0,69.0,145.0,69.0,Southpaw,1996-07-29,7.49,0.67,3.46,0.52,2.51,0.42,0.66,1.7,68.0,145.0,71.0,Switch,1992-05-31,4.82,0.43,6.06,0.55,3.24,0.55,0.46,0.7
Luana Santos,Tainara Lisboa,0,0,0.78,0.17,1.0,0.0,1,0,0,0,477,0,0,0,0.81,0.26,1.0,0.0,0,0,0,0,225,0,0.78,0.17,0.81,0.26,Submission,Herb Dean,1,2025-05-17,15,19,6,34,50,57,7,35,2,2,0,1,9,11,5,19,17,20,6,20,1,1,0,1,11,15,3,27,2,2,1,5,2,2,2,2,12,16,6,34,1,1,0,0,2,2,0,0,5,7,3,17,2,2,1,1,2,2,1,1,8,10,5,19,1,1,0,0,0,0,0,0,66.0,135.0,67.0,Orthodox,2000-04-16,3.69,0.52,3.40,0.62,1.91,0.5,0.83,1.3,67.0,135.0,67.0,Orthodox,1991-03-02,1.68,0.43,1.42,0.49,1.53,0.36,0.58,0.4
Elise Reed,Denise Gomes,0,1,0.52,0.66,,1.0,0,0,0,0,0,254,0,0,0.52,0.68,,1.0,0,0,0,0,0,245,0.52,0.66,0.52,0.68,KO/TKO,Jason Herzog,0,2025-05-17,11,21,28,42,35,47,69,86,0,0,3,3,9,17,15,22,33,43,55,63,0,0,3,3,5,15,18,29,4,4,5,8,2,2,5,5,10,20,11,20,1,1,9,10,0,0,8,12,5,13,8,13,2,2,5,7,2,2,2,2,8,16,7,14,1,1,8,8,0,0,0,0,63.0,115.0,63.0,Orthodox,1992-12-05,3.41,0.53,3.26,0.51,0.46,0.6,0.53,0.0,62.0,115.0,63.0,Orthodox,1999-12-30,4.59,0.5,3.04,0.51,1.19,0.36,0.67,0.8
HyunSung Park,Carlos Hernandez,0,0,0.63,0.23,1.0,,1,0,0,0,33,0,0,0,0.63,0.23,1.0,,1,0,0,0,33,0,0.63,0.23,0.63,0.23,Submission,Kerry Hatley,1,2025-05-17,14,22,4,17,17,27,4,17,1,1,0,0,14,22,4,17,17,27,4,17,1,1,0,0,5,13,2,15,6,6,0,0,3,3,2,2,11,19,4,17,3,3,0,0,0,0,0,0,5,13,2,15,6,6,0,0,3,3,2,2,11,19,4,17,3,3,0,0,0,0,0,0,67.0,125.0,66.0,Orthodox,1995-11-04,4.27,0.46,3.29,0.6,1.90,0.33,1.0,2.9,68.0,125.0,67.0,Orthodox,1993-10-25,3.83,0.45,3.50,0.5,1.56,0.21,0.65,0.2
Tecia Pennington,Luana Pinheiro,0,0,0.49,0.36,0.0,0.5,0,0,0,0,44,102,0,0,0.42,0.31,,0.0,0,0,0,0,0,8,0.49,0.36,0.42,0.31,Decision - Unanimous,Chris Tognoni,1,2025-05-17,63,127,40,110,78,149,46,118,0,2,5,10,26,61,16,51,30,67,19,55,0,0,0,2,34,82,23,85,10,17,5,9,19,28,12,16,56,109,33,95,7,18,7,15,0,0,0,0,18,42,11,44,2,6,3,4,6,13,2,3,21,51,11,43,5,10,5,8,0,0,0,0,61.0,115.0,60.0,Orthodox,1989-08-16,4.78,0.48,3.48,0.61,0.54,0.13,0.62,0.1,62.0,115.0,62.0,Orthodox,1992-11-18,3.29,0.39,4.06,0.6,2.33,0.37,0.71,0.2
