p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Kelvin Gastelum,Daniel Rodriguez,0,0,0.47,0.47,1.0,,0,0,0,0,167,0,0,0,0.47,0.5,,,0,0,0,0,5,0,0.47,0.47,0.47,0.5,Decision - Unanimous,Rich Mitchell,1,2024-06-22,112,238,127,265,123,250,132,273,4,4,0,0,44,93,46,91,45,94,46,92,0,0,0,0,77,193,82,214,14,20,36,41,21,25,9,10,105,226,127,265,0,0,0,0,7,12,0,0,27,70,25,67,6,10,15,17,11,13,6,7,44,93,46,91,0,0,0,0,0,0,0,0,69.0,185.0,71.0,Southpaw,1991-10-24,3.74,0.42,3.48,0.57,1.10,0.34,0.59,0.1,73.0,170.0,74.0,Southpaw,1986-12-31,7.39,0.48,5.39,0.57,0.55,0.54,0.63,0.1
Shara Magomedov,Antonio Trocoli,1,0,0.75,0.47,,0.0,0,0,0,0,17,282,0,0,0.7,0.7,,0.0,0,0,0,0,0,185,0.75,0.47,0.7,0.7,KO/TKO,Marc Goddard,1,2024-06-22,82,108,16,34,108,136,39,77,0,0,0,7,19,27,12,17,39,48,26,41,0,0,0,3,28,52,8,22,22,24,7,10,32,32,1,2,69,94,12,29,13,14,4,5,0,0,0,0,4,12,7,11,5,5,4,4,10,10,1,2,17,25,9,14,2,2,3,3,0,0,0,0,74.0,185.0,73.0,Orthodox,1994-05-16,5.87,0.62,4.13,0.42,0.00,0.0,0.72,0.0,78.0,185.0,79.0,Orthodox,1990-12-06,1.29,0.5,5.79,0.23,0.84,0.11,0.5,0.8
Johnny Walker,Volkan Oezdemir,0,2,0.45,0.55,,,0,0,0,0,0,6,0,2,0.45,0.55,,,0,0,0,0,0,6,0.45,0.55,0.45,0.55,KO/TKO,Jason Herzog,0,2024-06-22,15,33,37,67,15,33,37,67,0,0,0,0,15,33,37,67,15,33,37,67,0,0,0,0,6,20,22,49,3,6,9,12,6,7,6,6,15,33,33,59,0,0,2,4,0,0,2,4,6,20,22,49,3,6,9,12,6,7,6,6,15,33,33,59,0,0,2,4,0,0,2,4,78.0,205.0,82.0,Orthodox,1992-03-30,3.87,0.53,3.12,0.44,0.45,1.0,0.57,0.9,74.0,205.0,75.0,Orthodox,1989-09-19,4.95,0.48,4.22,0.55,0.50,0.29,0.8,0.1
Nasrat Haqparast,Jared Gordon,0,0,0.46,0.47,,0.0,0,0,0,0,3,169,0,0,0.54,0.28,,0.0,0,0,0,0,3,73,0.46,0.47,0.54,0.28,Decision - Split,Rich Mitchell,1,2024-06-22,146,316,141,299,156,330,170,338,0,0,0,13,35,64,16,56,35,66,21,63,0,0,0,7,122,288,125,275,23,27,12,19,1,1,4,5,133,298,128,274,8,10,13,25,5,8,0,0,27,55,11,48,8,9,2,4,0,0,3,4,30,56,14,50,0,0,2,6,5,8,0,0,70.0,155.0,72.0,Southpaw,1995-08-22,6.40,0.45,6.01,0.63,0.35,0.2,0.84,0.0,69.0,155.0,68.0,Orthodox,1988-09-06,5.67,0.55,3.91,0.56,1.83,0.32,0.62,0.0
Muhammad Naimov,Felipe Lima,0,0,0.35,0.52,0.2,0.5,0,1,0,0,156,66,0,0,0.36,0.6,0.5,,0,0,0,0,134,43,0.35,0.52,0.36,0.6,Submission,Thomas Fan,0,2024-06-22,30,85,37,70,55,120,62,98,1,5,1,2,7,19,14,23,31,53,35,47,1,2,0,0,14,60,10,37,6,15,14,19,10,10,13,14,26,72,31,60,2,7,6,10,2,6,0,0,3,13,3,12,1,3,5,5,3,3,6,6,5,11,10,18,0,2,4,5,2,6,0,0,69.0,145.0,70.0,Orthodox,1994-08-07,2.94,0.41,3.77,0.44,1.85,0.36,0.66,0.0,66.0,145.0,68.0,Orthodox,1998-05-07,3.50,0.45,2.32,0.72,1.71,0.42,0.83,1.1
Rinat Fakhretdinov,Nicolas Dalby,0,0,0.5,0.49,0.45,0.0,0,0,0,0,377,237,0,0,0.51,0.41,0.33,0.0,0,0,0,0,96,77,0.5,0.49,0.51,0.41,Decision - Split,Thomas Fan,1,2024-06-22,68,134,66,134,99,173,123,195,5,11,0,4,27,52,17,41,40,66,31,58,1,3,0,2,53,113,36,96,10,13,25,33,5,8,5,5,49,109,38,95,19,25,28,39,0,0,0,0,21,43,6,27,4,5,7,10,2,4,4,4,21,45,11,32,6,7,6,9,0,0,0,0,72.0,170.0,74.0,Orthodox,1991-09-28,4.78,0.52,3.58,0.53,3.95,0.34,0.91,0.2,71.0,170.0,74.0,Orthodox,1984-11-16,4.05,0.43,3.69,0.52,0.98,0.27,0.58,0.1
Kyung Ho Kang,Muin Gafurov,0,0,0.34,0.66,0.27,0.33,0,0,0,1,296,398,0,0,0.27,0.71,0.0,,0,0,0,0,39,182,0.34,0.66,0.27,0.71,Decision - Unanimous,Marc Goddard,0,2024-06-22,12,35,47,71,119,152,110,144,3,11,1,3,3,11,15,21,43,52,44,53,0,4,0,0,8,28,27,45,2,4,10,14,2,3,10,12,11,33,25,47,0,1,6,6,1,1,16,18,0,8,10,14,1,1,2,4,2,2,3,3,3,11,7,13,0,0,0,0,0,0,8,8,69.0,135.0,73.0,Orthodox,1987-09-09,3.13,0.47,3.32,0.54,1.97,0.5,0.68,0.8,67.0,135.0,68.0,Orthodox,1996-05-17,2.89,0.45,2.21,0.52,1.47,0.26,0.7,0.0
Magomed Gadzhiyasulov,Brendson Ribeiro,0,0,0.66,0.48,1.0,0.5,0,1,0,1,599,116,0,0,0.72,0.5,1.0,0.6,0,0,0,0,103,96,0.66,0.48,0.72,0.5,Decision - Majority,Jason Herzog,1,2024-06-22,26,39,17,35,93,135,29,51,5,5,3,6,8,11,11,22,29,42,14,29,1,1,3,5,15,25,6,19,4,4,4,4,7,10,7,12,12,23,13,29,4,4,3,5,10,12,1,1,1,3,5,14,3,3,2,2,4,5,4,6,4,7,7,16,4,4,3,5,0,0,1,1,74.0,205.0,75.0,Orthodox,1993-11-04,2.89,0.49,1.64,0.62,3.67,0.73,0.61,0.0,75.0,205.0,81.0,Orthodox,1996-09-08,3.34,0.43,3.72,0.55,1.07,0.42,0.0,0.7
Xiao Long,ChangHo Lee,0,0,0.66,0.7,0.4,0.22,0,0,0,0,379,108,0,0,0.73,0.63,1.0,0.0,0,0,0,0,161,10,0.66,0.7,0.73,0.63,Decision - Split,Thomas Fan,0,2024-06-22,68,103,84,119,135,187,173,228,2,5,2,9,22,30,24,38,43,60,50,66,1,1,0,4,27,49,28,47,33,46,54,68,8,8,2,4,26,44,18,33,42,59,66,86,0,0,0,0,8,13,5,10,13,16,17,25,1,1,2,3,5,9,5,10,17,21,19,28,0,0,0,0,68.0,135.0,70.0,Orthodox,1998-04-13,5.40,0.5,4.27,0.5,0.84,0.25,0.77,0.0,68.0,135.0,69.0,Orthodox,1994-05-09,4.92,0.67,2.35,0.39,3.27,0.33,0.37,0.4
Alex Perez,Tatsuro Taira,0,0,0.53,0.46,1.0,1.0,0,0,0,0,24,48,0,0,0.53,0.39,1.0,,0,0,0,0,24,0,0.53,0.46,0.53,0.39,KO/TKO,Herb Dean,0,2024-06-15,41,77,31,66,45,81,43,78,1,1,2,2,23,43,17,43,27,47,18,44,1,1,0,0,22,49,25,57,10,13,2,4,9,15,4,5,31,64,28,59,10,13,3,7,0,0,0,0,9,23,14,38,9,12,2,3,5,8,1,2,16,34,14,36,7,9,3,7,0,0,0,0,66.0,125.0,65.0,Orthodox,1992-03-21,4.19,0.46,3.20,0.58,2.04,0.46,0.77,0.8,67.0,125.0,70.0,Orthodox,2000-01-27,2.99,0.6,2.69,0.46,2.73,0.44,0.45,1.6
Douglas Silva de Andrade,Miles Johns,0,0,0.3,0.52,0.0,0.0,0,0,0,0,7,5,0,0,0.44,0.46,0.0,,0,0,0,0,7,0,0.3,0.52,0.44,0.46,Decision - Unanimous,Mark Smith,0,2024-06-15,36,119,50,96,36,119,52,98,0,1,0,3,12,27,7,15,12,27,8,16,0,1,0,0,21,80,37,82,6,21,6,7,9,18,7,7,36,118,50,96,0,1,0,0,0,0,0,0,7,16,3,10,1,4,1,2,4,7,3,3,12,27,7,15,0,0,0,0,0,0,0,0,67.0,135.0,68.0,Orthodox,1985-06-22,3.54,0.38,3.93,0.57,0.55,0.42,0.72,0.2,67.0,145.0,66.0,Orthodox,1994-03-30,3.16,0.44,2.65,0.67,0.92,0.2,0.81,0.0
Timmy Cuamba,Lucas Almeida,0,1,0.5,0.35,0.4,,0,0,0,0,138,47,0,1,0.5,0.37,0.0,,0,0,0,0,44,18,0.5,0.35,0.5,0.37,Decision - Unanimous,Mike Beltran,0,2024-06-15,59,116,70,196,73,136,91,220,2,5,0,0,13,26,22,59,13,26,30,70,0,2,0,0,35,87,43,153,14,17,13,28,10,12,14,15,48,100,65,190,0,0,2,3,11,16,3,3,6,19,13,42,3,3,3,11,4,4,6,6,13,26,21,58,0,0,0,0,0,0,1,1,69.0,145.0,71.0,Orthodox,1999-02-08,3.12,0.42,4.30,0.58,1.11,0.26,0.8,0.0,71.0,145.0,71.0,Orthodox,1991-01-31,4.94,0.39,5.04,0.44,0.00,0.0,0.53,0.0
Brady Hiestand,Garrett Armfield,0,1,0.44,0.59,0.46,,3,1,0,1,336,177,0,0,0.47,0.5,0.42,,2,1,0,1,167,65,0.44,0.59,0.47,0.5,Submission,Chris Tognoni,1,2024-06-15,22,50,49,83,42,76,59,94,6,13,0,0,8,17,6,12,21,33,9,16,3,7,0,0,14,39,41,73,7,10,8,10,1,1,0,0,18,44,22,43,4,6,5,6,0,0,22,34,4,12,3,8,3,4,3,4,1,1,0,0,6,15,6,12,2,2,0,0,0,0,0,0,68.0,135.0,71.0,Orthodox,1999-04-30,2.70,0.5,3.75,0.51,4.80,0.46,0.42,1.1,66.0,135.0,70.0,Orthodox,1996-10-09,5.35,0.53,3.64,0.56,1.10,0.5,0.64,0.6
Asu Almabayev,Jose Johnson,0,0,0.68,0.23,0.54,1.0,4,1,1,0,684,63,0,0,0.57,0.27,0.71,,1,0,0,0,204,4,0.68,0.23,0.57,0.27,Decision - Unanimous,Herb Dean,1,2024-06-15,20,29,5,21,77,109,58,79,6,11,1,1,4,7,3,11,12,19,29,39,5,7,0,0,12,19,3,16,3,3,1,4,5,7,1,1,4,10,4,18,5,5,1,2,11,14,0,1,0,1,1,6,1,1,1,4,3,5,1,1,0,3,3,10,4,4,0,1,0,0,0,0,64.0,125.0,65.0,Orthodox,1994-01-25,2.32,0.54,1.76,0.53,4.13,0.42,0.66,1.4,72.0,125.0,71.0,Orthodox,1995-05-20,2.27,0.57,1.61,0.53,0.69,0.6,0.41,0.7
Josh Quinlan,Adam Fugitt,0,0,0.42,0.39,,0.0,0,0,0,0,0,0,0,0,0.51,0.37,,,0,0,0,0,0,0,0.42,0.39,0.51,0.37,Decision - Split,Mark Smith,0,2024-06-15,53,126,80,205,53,126,80,205,0,0,0,2,23,45,22,58,23,45,22,58,0,0,0,0,25,93,29,131,11,14,40,59,17,19,11,15,53,126,80,204,0,0,0,1,0,0,0,0,8,29,4,34,4,4,11,14,11,12,7,10,23,45,22,58,0,0,0,0,0,0,0,0,72.0,170.0,72.0,Orthodox,1993-02-06,3.57,0.42,6.38,0.53,0.34,0.11,0.71,0.0,73.0,170.0,77.0,Southpaw,1989-01-12,4.72,0.45,4.48,0.51,2.04,0.29,0.5,0.0
Jimmy Flick,Nate Maness,0,0,0.49,0.52,0.12,,2,2,0,0,161,263,0,0,0.45,0.53,0.33,,1,2,0,0,65,27,0.49,0.52,0.45,0.53,Decision - Unanimous,Mike Beltran,0,2024-06-15,37,75,89,168,41,80,139,234,1,8,0,0,14,31,30,56,14,31,37,68,1,3,0,0,8,26,63,135,21,35,17,23,8,14,9,10,28,64,64,131,9,11,19,26,0,0,6,11,1,10,19,44,9,14,8,9,4,7,3,3,12,28,24,50,2,3,6,6,0,0,0,0,67.0,125.0,68.0,Orthodox,1990-09-07,1.67,0.5,4.70,0.43,2.36,0.33,0.0,3.5,70.0,125.0,72.0,Orthodox,1991-06-27,3.14,0.5,3.88,0.42,0.68,0.75,0.8,0.7
Carli Judice,Gabriella Fernandes,0,0,0.52,0.5,0.5,0.25,0,0,0,0,64,160,0,0,0.44,0.47,,0.0,0,0,0,0,0,27,0.52,0.5,0.44,0.47,Decision - Split,Chris Tognoni,0,2024-06-15,169,323,119,234,186,345,126,245,2,4,2,8,63,143,43,91,64,144,44,92,0,0,0,1,110,251,89,198,42,55,21,25,17,17,9,11,149,297,95,200,20,26,24,34,0,0,0,0,41,114,36,81,14,21,5,7,8,8,2,3,55,133,34,77,8,10,9,14,0,0,0,0,67.0,125.0,68.0,Southpaw,1999-03-02,11.18,0.53,10.01,0.53,0.95,0.25,0.7,0.0,66.0,125.0,66.0,Southpaw,1993-08-13,3.46,0.46,5.50,0.49,0.56,0.18,0.6,0.3
Jeka Saragih,Westin Wilson,0,0,0.5,0.0,0.0,0.33,0,3,0,0,53,35,0,0,0.5,0.0,0.0,0.33,0,3,0,0,53,35,0.5,0.0,0.5,0.0,Submission,Mark Smith,0,2024-06-15,4,8,0,1,4,9,2,3,0,1,1,3,4,8,0,1,4,9,2,3,0,1,1,3,2,6,0,1,1,1,0,0,1,1,0,0,3,5,0,1,0,0,0,0,1,3,0,0,2,6,0,1,1,1,0,0,1,1,0,0,3,5,0,1,0,0,0,0,1,3,0,0,68.0,145.0,69.0,Orthodox,1995-01-01,2.73,0.5,2.65,0.41,2.21,0.8,0.66,0.6,73.0,145.0,73.0,Southpaw,1989-01-24,1.68,0.33,5.72,0.31,1.68,0.16,0.33,8.4
Melquizael Costa,Shayilan Nuerdanbieke,0,0,0.45,0.75,1.0,0.4,2,1,1,2,180,386,0,0,0.57,0.5,,0.75,1,1,1,0,28,232,0.45,0.75,0.57,0.5,Submission,Mike Beltran,1,2024-06-15,16,35,6,8,76,106,20,28,2,2,4,10,4,7,1,2,31,39,9,12,0,0,3,4,8,20,4,6,5,10,1,1,3,5,1,1,8,22,4,6,5,7,2,2,3,6,0,0,1,4,1,2,0,0,0,0,3,3,0,0,4,6,1,2,0,0,0,0,0,1,0,0,70.0,145.0,71.0,Southpaw,1996-09-14,4.44,0.49,3.09,0.54,1.96,0.38,0.58,1.2,68.0,145.0,69.0,Orthodox,1994-05-04,1.95,0.45,2.64,0.5,3.30,0.35,0.28,0.2
Josefine Knutsson,Julia Polastri,0,0,0.5,0.52,,1.0,0,1,1,0,43,274,0,0,0.56,0.54,,1.0,0,0,0,0,6,22,0.5,0.52,0.56,0.54,Decision - Unanimous,Chris Tognoni,1,2024-06-15,124,244,64,122,145,271,86,152,0,0,3,3,61,108,34,62,64,111,36,65,0,0,1,1,68,173,38,83,31,43,19,29,25,28,7,10,109,220,43,91,12,19,3,6,3,5,18,25,33,69,23,44,15,24,9,14,13,15,2,4,50,94,16,39,11,14,2,3,0,0,16,20,63.0,115.0,60.0,Orthodox,1996-01-16,4.24,0.51,2.13,0.54,1.60,0.72,0.35,0.0,62.0,115.0,63.0,Orthodox,1998-03-05,5.62,0.55,5.37,0.56,0.87,0.8,0.58,0.4
Jared Cannonier,Nassourdine Imavov,0,0,0.58,0.61,1.0,0.66,0,0,0,0,378,70,0,0,0.65,0.46,1.0,1.0,0,0,0,0,125,10,0.58,0.61,0.65,0.46,KO/TKO,Jason Herzog,0,2024-06-08,64,109,82,134,102,152,106,159,1,1,2,3,21,32,14,30,38,52,16,32,1,1,1,1,42,81,61,112,9,11,16,17,13,17,5,5,58,100,64,114,6,9,17,19,0,0,1,1,13,23,7,23,2,2,4,4,6,7,3,3,20,31,12,28,1,1,1,1,0,0,1,1,71.0,185.0,77.0,Switch,1984-03-16,4.60,0.5,4.49,0.56,0.46,0.44,0.64,0.0,75.0,185.0,75.0,Orthodox,1995-03-01,4.45,0.55,3.26,0.58,0.85,0.32,0.78,1.1
Dominick Reyes,Dustin Jacoby,2,0,0.6,0.37,,,0,0,0,0,3,0,2,0,0.6,0.37,,,0,0,0,0,3,0,0.6,0.37,0.6,0.37,KO/TKO,Dan Miragliotta,1,2024-06-08,20,33,6,16,20,33,6,16,0,0,0,0,20,33,6,16,20,33,6,16,0,0,0,0,15,26,1,7,3,4,0,1,2,3,5,8,16,24,6,16,2,3,0,0,2,6,0,0,15,26,1,7,3,4,0,1,2,3,5,8,16,24,6,16,2,3,0,0,2,6,0,0,76.0,205.0,77.0,Southpaw,1989-12-26,5.58,0.54,3.54,0.5,0.31,0.28,0.82,0.3,75.0,205.0,76.0,Orthodox,1988-04-04,5.33,0.47,4.05,0.57,0.33,0.25,0.62,0.0
Raul Rosas Jr.,Ricky Turcios,0,0,0.33,0.46,0.57,,1,1,1,0,349,52,0,0,0.33,0.45,0.5,,0,1,1,0,220,52,0.33,0.46,0.33,0.45,Submission,Blake Grice,1,2024-06-08,3,9,7,15,25,34,64,78,4,7,0,0,1,3,5,11,21,25,50,61,2,4,0,0,2,7,3,10,0,0,1,1,1,2,3,4,2,8,6,14,0,0,1,1,1,1,0,0,1,3,1,6,0,0,1,1,0,0,3,4,0,2,5,11,0,0,0,0,1,1,0,0,69.0,135.0,67.0,Switch,2004-10-08,1.51,0.44,1.37,0.5,4.01,0.41,0.0,1.1,69.0,135.0,71.0,Orthodox,1993-06-05,4.73,0.4,3.72,0.52,0.91,0.2,0.44,0.4
Brunno Ferreira,Dustin Stoltzfus,1,0,0.66,0.45,,0.5,0,2,0,0,10,91,1,0,0.66,0.45,,0.5,0,2,0,0,10,91,0.66,0.45,0.66,0.45,KO/TKO,Jason Herzog,1,2024-06-08,24,36,18,40,27,40,20,44,0,0,1,2,24,36,18,40,27,40,20,44,0,0,1,2,16,27,12,34,6,7,4,4,2,2,2,2,22,33,13,34,2,3,3,3,0,0,2,3,16,27,12,34,6,7,4,4,2,2,2,2,22,33,13,34,2,3,3,3,0,0,2,3,70.0,185.0,72.0,Orthodox,1992-11-04,3.54,0.49,3.54,0.49,1.14,0.23,0.53,0.8,72.0,185.0,75.0,Orthodox,1991-11-15,3.14,0.45,3.14,0.47,2.26,0.41,0.46,1.3
Julian Marquez,Zachary Reese,0,1,1.0,0.66,,,0,0,0,0,0,3,0,1,1.0,0.66,,,0,0,0,0,0,3,1.0,0.66,1.0,0.66,KO/TKO,Dan Miragliotta,0,2024-06-08,1,1,6,9,1,1,6,9,0,0,0,0,1,1,6,9,1,1,6,9,0,0,0,0,0,0,5,8,0,0,1,1,1,1,0,0,1,1,2,4,0,0,0,0,0,0,4,5,0,0,5,8,0,0,1,1,1,1,0,0,1,1,2,4,0,0,0,0,0,0,4,5,74.0,185.0,72.0,Orthodox,1990-05-08,5.06,0.45,5.35,0.5,0.00,0.0,0.54,2.6,76.0,185.0,77.0,Switch,1994-03-24,4.94,0.58,3.45,0.42,3.50,0.55,0.33,2.1
Miguel Baeza,Punahele Soriano,0,0,0.58,0.82,0.0,0.83,3,0,0,0,47,658,0,0,0.55,0.71,0.0,1.0,3,0,0,0,47,87,0.58,0.82,0.55,0.71,Decision - Unanimous,Rob Mooney,0,2024-06-08,7,12,144,175,22,33,331,394,0,2,5,6,5,9,42,59,11,17,54,80,0,2,2,2,0,1,129,158,6,8,13,15,1,3,2,2,5,9,3,7,2,3,5,5,0,0,136,163,0,1,40,56,5,6,1,2,0,2,1,1,3,6,1,5,2,3,5,5,0,0,36,49,74.0,170.0,74.0,Orthodox,1992-08-23,4.09,0.49,5.92,0.46,0.36,0.22,0.54,2.0,71.0,170.0,72.0,Southpaw,1992-11-22,5.00,0.53,3.88,0.48,1.47,0.56,0.37,0.0
Thiago Moises,Ludovit Klein,0,2,0.4,0.53,0.0,1.0,1,0,0,0,69,188,0,1,0.47,0.52,0.0,,0,0,0,0,16,41,0.4,0.53,0.47,0.52,Decision - Unanimous,George Conley,0,2024-06-08,24,60,56,104,25,62,86,153,0,8,1,1,11,23,20,38,11,23,26,45,0,1,0,0,7,37,24,69,3,7,20,23,14,16,12,12,22,55,45,78,2,5,4,6,0,0,7,20,1,11,8,24,1,3,8,10,9,9,4,4,11,23,15,23,0,0,2,2,0,0,3,13,69.0,155.0,70.0,Orthodox,1995-03-23,2.48,0.42,4.08,0.53,1.31,0.35,0.52,1.1,67.0,155.0,72.0,Southpaw,1995-02-22,3.81,0.54,3.22,0.54,1.70,0.51,0.91,0.0
Charles Radtke,Carlos Prates,0,1,0.51,0.41,0.0,,0,0,0,0,23,4,0,1,0.51,0.41,0.0,,0,0,0,0,23,4,0.51,0.41,0.51,0.41,KO/TKO,Blake Grice,0,2024-06-08,14,27,15,36,33,48,15,36,0,2,0,0,14,27,15,36,33,48,15,36,0,2,0,0,7,19,5,19,3,4,4,10,4,4,6,7,13,26,15,36,1,1,0,0,0,0,0,0,7,19,5,19,3,4,4,10,4,4,6,7,13,26,15,36,1,1,0,0,0,0,0,0,69.0,170.0,72.0,Orthodox,1990-07-09,3.11,0.49,3.66,0.52,0.49,0.12,1.0,0.0,73.0,170.0,78.0,Switch,1993-08-17,3.60,0.54,4.79,0.48,0.25,1.0,0.83,0.0
Brad Katona,Jesse Butler,0,0,0.6,0.36,1.0,,0,0,0,0,650,0,0,0,0.57,0.63,1.0,,0,0,0,0,271,0,0.6,0.36,0.57,0.63,Decision - Unanimous,Jason Herzog,1,2024-06-08,68,113,30,82,148,217,32,90,3,3,0,0,8,14,7,11,44,54,8,16,1,1,0,0,59,101,16,63,3,6,9,14,6,6,5,5,27,56,30,82,1,1,0,0,40,56,0,0,8,14,1,2,0,0,3,6,0,0,3,3,1,4,7,11,1,1,0,0,6,9,0,0,66.0,135.0,64.0,Orthodox,1991-12-19,4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0,70.0,135.0,73.0,Orthodox,1992-05-24,2.02,0.34,4.62,0.39,0.00,0.0,0.0,0.0
Andrea Lee,Montana De La Rosa,0,0,0.49,0.38,0.0,0.5,0,1,2,0,128,129,0,0,0.54,0.31,0.0,0.5,0,1,1,0,112,10,0.49,0.38,0.54,0.31,Decision - Split,George Conley,0,2024-06-08,75,152,70,180,115,201,88,206,0,2,3,6,27,50,14,44,52,80,17,49,0,1,1,2,37,109,53,156,29,31,12,17,9,12,5,7,58,129,62,161,13,16,5,16,4,7,3,3,16,38,9,37,10,10,4,6,1,2,1,1,12,31,10,36,11,12,4,8,4,7,0,0,66.0,125.0,69.0,Orthodox,1989-02-11,4.62,0.45,3.91,0.61,1.65,0.52,0.53,0.6,67.0,125.0,68.0,Orthodox,1995-02-14,2.90,0.37,3.39,0.45,1.85,0.33,0.68,0.8
John Castaneda,Daniel Marcos,0,1,0.48,0.57,0.2,,0,0,0,0,132,61,0,0,0.52,0.53,,,0,0,0,0,0,0,0.48,0.57,0.52,0.53,Decision - Unanimous,Dan Miragliotta,0,2024-06-08,60,123,98,171,68,134,101,177,1,5,0,0,24,46,28,52,25,47,28,53,0,0,0,0,26,75,71,131,9,16,21,31,25,32,6,9,59,122,81,150,1,1,17,20,0,0,0,1,6,19,23,41,3,5,2,8,15,22,3,3,24,46,26,49,0,0,2,2,0,0,0,1,66.0,135.0,71.0,Switch,1991-12-18,4.42,0.5,4.94,0.53,1.68,0.37,0.73,0.1,67.0,135.0,69.0,Orthodox,1993-03-07,5.11,0.53,3.88,0.61,0.99,0.46,0.84,0.0
Eduarda Moura,Denise Gomes,0,0,0.38,0.56,0.19,0.0,0,1,0,2,396,140,0,0,0.36,0.43,0.22,0.0,0,1,0,1,191,48,0.38,0.56,0.36,0.43,Decision - Split,Rob Mooney,0,2024-06-08,18,47,50,88,27,66,137,184,5,26,0,1,4,11,7,16,9,25,32,47,2,9,0,1,12,40,19,46,4,5,22,30,2,2,9,12,12,39,31,60,5,6,17,22,1,2,2,6,2,8,1,7,1,2,5,7,1,1,1,2,0,5,3,9,3,4,4,6,1,2,0,1,66.0,125.0,66.0,Orthodox,1994-02-28,2.60,0.49,2.45,0.53,4.37,0.35,1.0,0.4,62.0,115.0,63.0,Orthodox,1999-12-30,4.59,0.5,3.04,0.51,1.19,0.36,0.67,0.8
